company_name,domain,website,state,pms_detected,units_estimate,property_mix,states_of_operations,company_type,description,discovery_source,icp_fit,icp_tier,icp_confidence,disqualifiers,agent_summary,created_at
"Matrix Real Estate, LLC",matrixrealestate.managebuilding.com,https://matrixrealestate.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:33.780026+00:00
Brass Key Property Management,brasskey.biz,https://brasskey.biz,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:34.621404+00:00
Kurts Property Management,kurtspropertymanagement.managebuilding.com,https://kurtspropertymanagement.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:35.693621+00:00
Pier Property Services,pier.managebuilding.com,https://pier.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:36.575236+00:00
The Property Management Co.,thepmco.managebuilding.com,https://thepmco.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:37.471758+00:00
"Barrett Property Management & Realty, LLC",barrettpropertymanagementrealty1.managebuilding.com,https://barrettpropertymanagementrealty1.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:38.323358+00:00
Bergan and Company,berganandcompany.managebuilding.com,https://berganandcompany.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:39.157303+00:00
Premier Real Estate Management,premierrem.managebuilding.com,https://premierrem.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:40.104579+00:00
Streamline Property Management,streamlinepropertymanagement.managebuilding.com,https://streamlinepropertymanagement.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:41.000275+00:00
365 REAL Property Management LLC,realpropertymanagement2.managebuilding.com,https://realpropertymanagement2.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:41:41.755814+00:00
Point West Properties,point-west.com,https://point-west.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:48:12.224212+00:00
Independence Realty & Property Management (Independence / Rocky Mtn Rental),rockymtnrental.managebuilding.com,https://rockymtnrental.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:48:13.016717+00:00
Integrity Property Management,integritypropmgmt.managebuilding.com,https://integritypropmgmt.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:48:13.816830+00:00
Dakota Management,dakotamgmt.managebuilding.com,https://dakotamgmt.managebuilding.com,CO,,,,,sfr,,agent_structured,Unknown,Unknown,,,,2025-11-21 01:48:14.707480+00:00
